,Гадяцький,,,,,,,Зіньківський,,,,,,,Золотоніський,,,,,,,Кобеляцький,,,,,,,Костянтиноградський,,,,,,,Кременчуцький,,,,,,,Лохвицький,,,,,,,Лубенський,,,,,,,Миргородський,,,,,,,Переяславський,,,,,,,Полтавський,,,,,,,Прилуцький,,,,,,,Пирятинський повіт,,,,,,,Роменський повіт,,,,,,,Хорольський повіт,,,,,,,Губернія загалом,,,,,,
,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,,Народилось,,,Шлюби,Померли,,
,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.,ч,ж,о.с.,,ч,ж,о.с.
1842,1765,1675,3440,1048,1786,2001,3787,1331,1253,2584,761,2267,2301,4568,2473,2277,4750,1265,2907,3011,5918,1946,1970,3916,1121,2008,2061,4069,2481,2271,4752,1320,3153,3206,6359,1889,1734,3623,1020,1968,2032,4000,1750,1732,3482,928,1615,1567,3182,1684,1657,3341,964,1864,1848,3712,1626,1555,3181,1012,2269,2338,4607,2486,2264,4750,1142,2132,2156,4288,1975,1887,3862,1338,2443,2581,5024,2598,2670,5268,1345,2199,2201,4400,1970,1979,3949,964,1960,2071,4031,2727,2659,5386,1520,2340,2179,4519,1605,1610,3215,1092,2875,3118,5993,30306,29193,59499,16840,33786,34671,68457
1843,2296,2185,4481,1236,1192,1200,2392,1974,1787,3761,1089,946,1038,1984,3345,3159,6504,1383,1571,1586,3157,2799,2701,5500,1161,1178,1281,2459,3171,3148,6319,1419,1660,1656,3316,2693,2653,5346,1183,1154,1278,2432,1930,1898,3828,931,1038,1058,2096,2167,1997,4164,866,1069,1041,2110,2433,2386,4819,1332,1148,1269,2417,2917,2870,5787,1375,1417,1437,2854,2817,2814,5631,1546,1190,1213,2403,2950,2917,5867,1175,1471,1541,3012,2523,2354,4877,1109,1273,1280,2553,3144,2908,6052,1480,1539,1613,3152,2474,2296,4770,1302,1187,1230,2417,39633,38073,77706,18587,19033,19721,38754
1844,2397,2322,4719,1176,1305,1433,2738,1956,1920,3876,895,1055,1029,2084,3359,3211,6570,1380,1757,1767,3524,2662,2488,5150,1066,1525,1445,2970,3076,3022,6098,1388,1663,1680,3343,2610,2549,5159,1064,1332,1356,2688,2047,1904,3951,844,1152,1181,2333,2091,2043,4134,804,1103,1160,2263,2377,2224,4601,1073,1182,1214,2396,2979,2865,5844,1304,1900,1920,3820,2900,2702,5602,1407,1593,1349,2942,2904,2901,5805,1288,2085,2021,4106,2476,2395,4871,1064,1611,1643,3254,3056,2900,5956,1333,1639,1781,3420,2529,2392,4921,1116,1058,1157,2215,39419,37838,77257,17202,21960,22136,44096
1845,2479,2364,4843,1311,1990,1981,3971,1914,1907,3821,1073,1353,1402,2755,3218,3058,6276,1396,2640,2449,5089,2662,2561,5223,1328,1430,1427,2857,3184,3018,6202,1560,2241,2227,4468,2579,2557,5136,1089,1718,1649,3367,2012,2145,4157,956,1631,1557,3188,2116,2020,4136,923,1871,1797,3668,2407,2250,4657,1248,1738,1673,3411,2815,2756,5571,1270,2351,2273,4624,2695,2859,5554,1536,2010,1998,4008,2994,2969,5963,1442,2806,2686,5492,2430,2398,4828,1148,2025,1985,4010,3036,3009,6045,1547,2382,2371,4753,2501,2289,4790,1147,1598,1671,3269,39042,38160,77202,18974,29784,29146,58930
1846,2453,2246,4699,1031,1995,1964,3959,1939,1989,3928,799,1360,1365,2725,3427,3167,6594,1182,2484,2527,5011,2555,2463,5018,902,1373,1389,2762,3135,2955,6090,1408,1875,1961,3836,2545,2471,5016,1002,1648,1676,3324,1919,1950,3869,771,1972,1855,3827,2165,2092,4257,762,1605,1624,3229,2324,2267,4591,984,1782,1820,3602,2988,2850,5838,956,2245,2286,4531,2931,2801,5732,1186,1743,1713,3456,3147,2967,6114,1160,2344,2358,4702,2526,2521,5047,954,1699,1667,3366,3044,2925,5969,1180,2540,2413,4953,2506,2307,4813,960,2028,2007,4035,39604,37971,77575,15237,28693,28625,57318
1847,2536,2499,5035,1074,1634,1569,3203,2089,2254,4343,893,1396,1324,2720,3472,3242,6714,1292,2251,2079,4330,2705,2518,5223,1116,1590,1576,3166,3422,3284,6706,1293,1999,1992,3991,2820,2722,5542,1134,1772,1743,3515,2123,2161,4284,872,1324,1404,2728,2162,2037,4199,887,1443,1396,2839,2533,2355,4888,958,1618,1507,3125,2800,2933,5733,1175,2403,2310,4713,3139,2890,6029,1361,1812,1704,3516,3106,2844,5950,1112,2457,2536,4993,2584,2309,4893,1018,2000,1885,3885,3224,3011,6235,1309,2192,2072,4264,2641,2622,5263,1087,1389,1363,2752,41356,39681,81037,16581,27280,26460,53740
1848,2429,2306,4735,1331,2507,2684,5191,2124,2033,4157,1144,2540,2868,5408,3253,3035,6288,1823,5226,5546,10772,2588,2504,5092,1114,3137,3270,6407,3405,3276,6681,1697,4777,4917,9694,2738,2600,5338,1312,3678,3880,7558,1977,1915,3892,1183,3078,3281,6359,2196,2038,4234,1234,3503,3623,7126,2392,2308,4700,1319,3766,3995,7761,2863,2723,5586,1586,5265,5521,10786,3132,3168,6300,1587,4114,4043,8157,2904,2862,5766,1677,4102,4214,8316,2541,2531,5072,1404,3781,3881,7662,3174,2995,6169,1599,3819,3908,7727,2308,2286,4594,1420,3498,3560,7058,40024,38580,78604,21430,56791,59191,115982
1849,2068,2110,4178,844,1556,1570,3126,1691,1695,3386,910,1451,1599,3050,3017,2998,6015,1201,2090,1987,4077,1831,1814,3645,1310,2848,3084,5932,2386,2292,4678,2012,4569,4615,9184,1955,1919,3874,1402,2797,3214,6011,1786,1821,3607,750,1284,1340,2624,1860,1853,3713,875,1360,1403,2763,1880,1765,3645,905,1764,1883,3647,2788,2737,5525,1311,1909,1954,3863,2375,2253,4628,1567,2999,3261,6260,2863,2727,5590,1079,2110,2059,4169,2337,2361,4698,941,1791,1656,3447,2848,2618,5466,1255,1889,2001,3890,1892,1746,3638,1116,2225,2402,4627,33577,32709,66286,17478,32642,34028,66670
1850,2482,2337,4819,1523,1570,1616,3186,2140,2028,4168,1159,1485,1495,2980,3406,3246,6652,1856,2430,2293,4723,2528,2381,4909,1338,1504,1496,3000,3163,3085,6248,1485,2028,1969,3997,2791,2626,5417,1379,1607,1515,3122,2047,2002,4049,1197,1514,1553,3067,2090,2028,4118,1234,1656,1614,3270,2420,2264,4684,1371,1378,1411,2789,2832,2765,5597,1575,2487,2432,4919,3045,3128,6173,1618,1985,1803,3788,2859,2708,5567,1640,2763,2687,5450,2511,2429,4940,1376,2167,2043,4210,3149,2926,6075,1710,2135,2057,4192,2510,2602,5112,1369,1596,1612,3208,39973,38555,78528,21830,28305,27596,55901
Разом,35093,33740,68833,17012,27260,28025,55285,28756,28132,56888,13877,23236,24182,47418,49368,46688,96056,21220,38682,38791,77473,38386,36390,74776,17689,26895,27024,53919,47370,45032,92402,21919,36231,36586,72817,38640,37029,75669,17401,28316,28783,57099,30354,29405,59759,13683,23495,23628,47123,31804,30289,62093,14458,26126,26056,52182,34533,32976,67509,16743,28518,29197,57715,43298,41616,84914,19213,36316,36392,72708,41866,40254,82120,20480,31601,30835,62436,45188,43795,88983,20201,37869,38093,75962,36895,35689,72584,16459,30505,30254,60759,46657,43988,90645,21235,34827,34396,69223,36289,34402,70691,17285,28336,27996,56332,584497,559425,1143922,268875,458213,460238,918451
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Назва: Табица рождений, бракосочетаний и смертности за годы 1835-1850, в каждом уезде отдельно и в губернии вообще (№24).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Джерела: консисторський облік, таблиця цікава тим, що відрізняється від ревізій і показує коливання відтворення населення",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
