Станом на 1850 рік,Гадяцький,,,Зіньківський,,,Золотоніський,,,Кобеляцький,,,Костянтиноградський,,,Кременчуцький,,,Лохвицький,,,Лубенський,,,Миргородський ,,,Переяславський,,,Полтавський,,,Прилуцький,,,Пирятинський,,,Роменський,,,Хорольський,,,Губернія загалом,,
,ч,ж,о.п.,ч,ж,о.п.,ч,ж,о.п.,ч,ж,о.п.,ч,ж,о.п.,ч,ж,о.п.,ч,ж,о.п.,ч,ж,о.п.,ч,ж,о.п.,ч,ж,о.п.,ч,ж,о.п.,ч,ж,о.п.,ч,ж,о.п.,ч,ж,о.п.,ч,ж,о.п.,ч,ж,о.п.
Воен. кантонистов и отставных солдат,0,0,0,358,415,773,0,0,0,0,0,0,41,68,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,301,433,4,5,9,0,0,0,0,0,0,0,0,0,535,789,1324
Иностанных фабрикантов,0,0,0,0,0,0,0,0,0,0,0,0,116,109,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,123,278,0,0,0,0,0,0,0,0,0,0,0,0,251,232,483
Дворян потомственных,153,171,324,394,380,774,207,211,418,300,348,648,179,176,355,454,526,980,321,360,681,144,217,361,258,363,621,293,278,571,391,395,786,483,452,935,495,508,1003,407,382,789,405,481,886,4884,5148,10032
Дворян личных,105,162,267,547,540,1087,538,566,1104,207,229,436,144,151,295,349,398,747,399,426,825,126,135,261,529,517,1046,437,486,923,1267,1122,2389,187,183,370,426,458,884,535,510,1045,194,220,414,5990,6103,12093
Разночинцев и обер-офицерских детей,13,26,39,164,164,328,392,495,887,263,225,488,102,176,278,118,96,214,0,0,0,261,253,514,247,222,469,292,311,603,1569,1490,3059,309,306,615,353,377,730,0,0,0,75,80,155,4158,4221,8379
Почетных граждан потомственных,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,6,4,10,0,0,0,4,1,5,0,0,0,0,0,0,7,9,16,0,0,0,0,0,0,0,0,0,0,0,0,21,17,38
Почетных граждан личных,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
Принадлежащих почтовому ведомству,2,0,2,3,0,3,2,0,2,2,0,2,4,0,4,11,6,17,6,2,8,3,3,6,2,0,2,2,0,2,17,8,25,5,2,7,4,3,7,5,2,7,5,1,6,73,27,100
Лекарских учеников и их детей,2,4,6,2,0,2,3,3,6,4,5,9,2,0,2,2,0,2,2,1,3,2,3,5,3,2,5,2,2,4,2,0,2,3,3,6,4,3,7,2,1,3,3,3,6,38,30,68
Отст. нижн. чин. не запис. в ревизию,445,358,803,264,466,730,702,608,1310,544,513,1057,675,466,1141,802,979,1781,406,461,867,441,511,952,542,477,1019,492,716,1208,931,645,1576,690,502,1192,875,770,1645,589,240,829,752,1013,1765,9150,8725,17875
Иностранцев временно проживающих,12,13,25,1,1,2,19,5,24,4,4,8,14,9,23,32,24,56,6,4,10,1,1,2,6,2,8,6,5,11,246,267,513,22,19,41,6,11,17,1,1,2,7,4,11,383,370,753
Отставн. канцелярск. Служителей,0,0,0,97,108,205,77,78,155,8,7,15,0,0,0,50,39,89,75,87,157,157,148,305,0,0,0,18,26,44,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,486,491,977
Итого,44743,47918,92661,46264,48634,94898,67385,70921,138306,58523,61587,120110,53886,55101,108987,58892,62676,121568,51292,54265,105557,39389,41890,81279,50059,53167,103226,54676,68783,113459,62523,65695,128218,59850,64047,123897,49696,52498,102194,62194,66409,128603,49594,52685,102279,808966,856164,1665130
