Станом на 1848 рік,Гадяцький,,,Зіньківський,,,Золотоніський,,,Кобеляцький,,,Костянтиноградський,,,Кременчуцький,,,Лохвицький,,,Лубенський ,,,Миргородський,,,Переяславський,,,Полтавський,,,Прилуцький,,,Пирятинський,,,Роменський,,,Хорольський,,,Вся губернія,,
Сословия жителей,м,ж,о.п.,м,ж,о.п.,м,ж,о.п.,м.,ж.,о.п.,м.,ж.,о.п.,м.,ж.,о.п.,м,ж,о.п.,м,ж,о.п.,м,ж,о.п.,м,ж,о.п.,м,ж,о.п.,м,ж,о.п.,м,ж,о.п.,м,ж,о.п.,м,ж,о.п.,м,ж,о.п.
По уезду,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Воспитанников,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076,210,1286,0,0,0,0,0,0,0,0,0,0,0,0,1076,210,1286
Крестьян Государственных имуществ,428,455,883,2154,2253,4407,740,798,1538,3001,3337,6338,0,0,0,687,1217,1904,2216,2378,4594,185,197,382,1795,1886,3681,815,935,1750,1834,1639,3473,432,510,942,358,415,773,756,883,1639,763,789,1552,16164,17692,33856
Крестьян помещичьих,98,92,190,129,138,267,208,261,469,100,128,228,39,59,98,141,231,372,350,524,874,130,131,261,944,1018,1962,125,140,265,984,924,1908,592,500,1092,236,268,504,335,428,763,200,202,402,4611,5044,9655
Колонистов,0,0,0,0,0,0,0,0,0,0,0,0,108,105,213,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,151,162,313,0,0,0,0,0,0,0,0,0,0,0,0,266,267,533
Иностранцев,1,2,3,0,0,0,0,0,0,3,4,7,1,1,2,37,28,65,0,0,0,0,0,0,0,0,0,0,0,0,38,14,52,1,1,2,0,0,0,7,6,13,2,2,4,90,59,149
Евреев,463,510,973,129,132,261,503,497,1000,159,161,310,138,158,296,3694,3161,6855,484,505,989,86,105,191,146,160,306,700,822,1522,1021,1028,2049,609,544,1153,215,204,419,391,373,764,0,0,0,8738,8360,17098
Воинских поселян,0,0,0,0,0,0,0,0,0,4,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9
Крестьян торгующих по паспортам,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,11,0,11
Итого по городам,2567,2465,5032,3971,3815,7786,3203,2731,5934,4068,4389,8457,1030,1047,2077,9617,9113,18730,3600,3569,7169,1439,1294,2733,3723,3728,7451,2731,2345,5076,11320,8008,19328,4516,4298,8814,1557,1623,3180,3275,3684,6959,2140,1734,3874,59757,53843,113600
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
А всего в уездах совместно с городами,45069,45364,90433,47040,48233,95273,79680,79735,159415,36397,38436,74833,51436,51751,103187,52879,52762,105641,51357,52033,103390,38802,40248,79050,50074,52991,103065,66025,66313,132338,62646,61085,123731,60473,62859,123332,47775,49259,97034,60092,64423,124515,51856,54117,105973,801601,819609,1621210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Назва у джерелі: Таблица народонаселения уездов и городов по сословиям в 1848 году к генварю 1-му. Извлечена из табелей г-д Земских исправников и из показаний г-д Городничих ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
С. 62-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
